Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit]
1,1.082613206,16.54897959,0,237.6585173
2,0.956716194,15.79795918,0,216.6411879
3,0.85511047,15.32857143,0,216.6411879
4,0.769596348,15.04693878,0,195.6238585
5,0.735808378,15.14081633,0,237.6585173
6,0.715935687,16.17346939,0,258.6758467
7,0.715408094,16.64285714,0,195.6238585
8,0.82290528,17.95714286,0,134.9184882
9,0.888678609,19.27142857,16.10944025,74.03857109
10,1.040493654,20.39795918,314.731262,74.03857109
11,1.23743993,20.58571429,502.3046213,195.6238585
12,1.444102721,20.77346939,296.2088611,412.5479093
13,1.562613422,20.77346939,405.6530765,412.5479093
14,1.48505717,20.77346939,377.0395028,864.3989433
15,1.418998061,20.49183673,206.8662204,279.6931761
16,1.456347288,20.30408163,13.38147451,195.6238585
17,1.621901748,21.43061224,0,503.0511033
18,1.92117919,21.9,0,472.883372
19,1.892469308,21.05510204,0,915.2809597
20,1.789654514,21.14897959,0,773.8023685
21,1.521834837,21.14897959,0,733.7715276
22,1.353884223,20.11632653,0,813.8332093
23,1.721682878,17.86326531,0,1390.624037
24,1.466987091,17.01836735,0,1501.554844
25,1.18428488,18.98979592,0,1817.827287
26,1.039636314,16.26734694,0,1911.122963
27,0.971994424,16.26734694,0,1864.475125
28,0.948934189,16.36122449,0,1934.446882
29,1.018180843,17.01836735,0,1990.173864
30,1.20114589,18.14489796,0,1957.770801
31,1.485540798,20.11632653,0,1501.554844
32,1.889655475,20.11632653,0,1118.809025
33,2.244022478,20.02244898,2.66337719,1169.691042
34,2.438176905,20.21020408,18.64364033,915.2809597
35,2.599796396,20.21020408,45.27741224,1788.922478
36,2.696499897,19.92857143,85.97969104,2029.044886
37,2.666053353,21.05510204,132.7225275,1957.770801
38,2.618855713,20.96122449,76.72438833,2038.762641
39,2.530307929,19.36530612,159.7662005,1980.456108
40,2.482055102,19.36530612,54.53656749,1841.151206
41,2.594146748,19.27142857,0,1788.922478
42,2.850996876,19.27142857,0,1279.69323
43,2.833366458,19.17755102,0,1757.198785
44,2.604830518,19.17755102,0,1864.475125
45,2.278272092,19.17755102,0,1957.770801
46,2.080578392,19.08367347,0,1630.304011
47,1.913309253,17.86326531,0,1725.475091
48,1.461007698,17.20612245,0,1817.827287
49,1.025171458,16.73673469,0,1911.122963
50,0.829258385,17.3,0,1817.827287
51,0.684785685,18.05102041,0,1501.554844
52,0.605009143,17.58163265,0,1169.691042
53,0.627168072,17.4877551,0,573.6481642
54,0.673398457,17.39387755,0,966.1629761
55,0.80382398,17.39387755,0,1169.691042
56,1.055618002,19.27142857,0,1067.927009
57,1.326559274,20.39795918,10.65350876,1067.927009
58,1.624385834,20.58571429,42.61403504,1279.69323
59,1.796996858,20.77346939,69.24780695,1390.624037
60,2.012123128,23.49591837,63.92105257,1662.027705
61,2.070180402,22.2755102,63.92105257,1817.827287
62,2.033029023,21.7122449,71.91118414,1757.198785
63,1.923531378,20.49183673,50.60416662,1725.475091
64,1.874619059,20.77346939,15.98026314,1501.554844
65,2.045493421,20.67959184,0,1067.927009
66,2.306344466,21.05510204,0,1067.927009
67,2.298606427,21.5244898,0,653.7098459
68,2.117378042,21.7122449,0,472.883372
69,1.771562452,21.61836735,0,653.7098459
70,1.602930363,20.02244898,0,773.8023685
71,1.566680289,19.08367347,0,773.8023685
72,1.381121241,18.33265306,0,653.7098459
73,1.149617587,18.33265306,0,1067.927009
74,0.810221051,18.42653061,0,1067.927009
75,0.645831694,18.52040816,0,864.3989433
76,0.57880533,17.6755102,0,1335.158634
77,0.589181336,18.14489796,0,1224.227827
78,0.535850422,18.42653061,0,1279.69323
79,0.464009766,19.64693878,0,1224.227827
80,0.689753857,20.49183673,0,1446.08944
81,0.951660089,21.43061224,13.31688595,1169.691042
82,1.207938657,23.40204082,52.44138875,1118.809025
83,1.476022131,22.55714286,207.3642763,1224.227827
84,1.800558114,21.33673469,107.1966742,1788.922478
85,1.811747494,19.92857143,146.1723759,1817.827287
86,1.629727719,19.08367347,130.9705252,1446.08944
87,1.5290233,18.89591837,37.28728066,1169.691042
88,1.521878804,20.30408163,13.31688595,1279.69323
89,1.699260152,20.30408163,0,1118.809025
90,2.012826587,21.80612245,0,864.3989433
91,2.069982555,22.18163265,0,613.679005
92,1.930785789,22.18163265,0,503.0511033
93,1.727882102,21.33673469,0,412.5479093
94,1.611701606,20.30408163,0,773.8023685
95,1.623000901,19.36530612,0,279.6931761
96,1.378329391,18.23877551,0,442.7156407
97,1.063356041,18.23877551,0,382.380178
98,0.893888596,18.23877551,0,573.6481642
99,0.796327755,17.20612245,0,352.2124467
100,0.790216463,17.3,0,412.5479093
101,0.891932103,17.39387755,0,573.6481642
102,1.216841798,18.89591837,0,864.3989433
103,1.74443535,18.89591837,0,1279.69323
104,2.252925619,20.49183673,0,1169.691042
105,2.568976139,20.39795918,5.326754381,1335.158634
106,2.685552331,20.96122449,13.31688595,733.7715276
107,2.753699832,20.86734694,21.30701752,1017.044992
108,2.834707425,20.39795918,26.6337719,733.7715276
109,2.850227468,20.39795918,23.97039471,573.6481642
110,2.793335297,20.49183673,15.98026314,442.7156407
111,2.719582115,20.11632653,10.65350876,533.6173233
112,2.662052435,19.36530612,2.66337719,382.380178
113,2.719779963,21.24285714,0,216.6411879
114,3.034819262,21.24285714,0,195.6238585
115,3.008857263,20.96122449,0,216.6411879
116,2.867923836,20.39795918,0,237.6585173
117,2.501356232,20.39795918,0,148.0721909
118,2.261872726,19.92857143,0,82.30367714
119,2.144966788,18.23877551,0,57.73941767
120,1.779959983,16.17346939,0,57.73941767
121,1.498071145,16.17346939,0,134.9184882
122,1.300487359,16.07959184,0,258.6758467
123,1.207608911,15.98571429,0,74.03857109
124,1.213214593,16.07959184,0,3.036309224
125,1.260698012,16.45510204,0,2.576026168
126,1.391277416,19.45918367,0,3.036309224
127,1.759911428,20.11632653,0,15.61811186
128,2.207442658,22.0877551,0,57.73941767
129,2.406213529,22.36938776,7.990131571,57.73941767
130,2.511578357,22.55714286,47.94078943,148.0721909
131,2.643696576,22.18163265,74.57456133,134.9184882
132,2.733761192,21.61836735,74.57456133,237.6585173
133,2.710635008,21.7122449,69.24780695,174.6065291
134,2.632595128,22.0877551,66.58442976,82.30367714
135,2.517359903,21.99387755,61.25767538,49.58984097
136,2.491309972,21.9,13.31688595,195.6238585
